Услуга,Поломка
Чистка сеточки фронтального микрофона и слухового динамика,Не работает микрофон
Чистка сеточки фронтального микрофона и слухового динамика,Плохо слышно собеседника
Чистка стекла основной камеры,Пыль под камерой
Замена (реболл) модемного процессора,Нет прошивки модема
Замена (реболл) модемного процессора,Не ловит LTE
Замена (реболл) модемного процессора,Плохо ловит сеть
Замена драйвера вспышки,Не работает фонарик
Замена драйвера камеры,Не работает основная камера
Замена драйвера подсветки,Нет подсветки
Замена катушки индуктивности,Нет
Замена ключа зарядки,Не заряжается
Замена кнопки Home,Не работает кнопка Home
Замена контроллера питания модема,Нет прошивки модема
Замена контроллера питания модема,Не ловит LTE
Замена контроллера тачскрина,Некорректно работает тачскрин
Замена контроллера шумоподавления,Не работает микрофон
Замена контроллера Wi-fi,Не работает Wi-Fi
Замена основного контроллера питания,Не заряжается
Замена передатчика,Нет
Замена преобразователя,Нет
Замена разъема на плате,Нет
Замена разъема наушников,Не работает разъем наушников
Замена рамки,Отходит рамка дисплея
Замена трансивера,Нет сети
Замена усилителя полифонического динамика,Не работает динамик полифонический
Замена элемента,Нет
Замена элементов,Нет
Замена GSM антенны,Плохо ловит сеть
Замена NAND-flash (16 Гб),Не видит flash память
Замена NAND-flash (16 Гб),Не загружается
Замена NAND-flash (16 Гб),Не включается
Замена NAND-flash (32 Гб),Не видит flash память
Замена NAND-flash (32 Гб),Не загружается
Замена NAND-flash (32 Гб),Не включается
Замена SIM-ридера,Не видит SIM карту
Подклейка дисплея,Выклейка дисплейного модуля
Подклейка дисплея,Пыль под камерой
Ремонт материнской платы,Нет
Ремонт цепи питания,Не заряжается
Ремонт цепи питания,Не включается
Ремонт Wi-Fi модуля,Не работает Wi-Fi
Чистка сеточки втулки шумоподавления,Не работает микрофон
Замена NAND-flash (64 Гб),Не видит flash память
Замена NAND-flash (64 Гб),Не загружается
Замена NAND-flash (64 Гб),Не включается
Замена NAND-flash (64 Гб),Не хватает места
Замена (реболл) микросхемы памяти (EEPROM),Не видит flash память
Замена (реболл) микросхемы памяти (EEPROM),Не включается
Замена (реболл) микросхемы памяти (EEPROM),Не загружается
Замена акселерометра,Не работает акселерометр
Замена драйвера вибромотора,Не работает вибромотор
Замена драйвера дисплея,Нет изображения на дисплее
Замена контроллеров тачскрина Broadcom и Ti,Некорректно работает тачскрин
Замена сеточки на полифонический динамик/микрофон,Не слышно собеседника
Замена GPS антенны,Плохо ловит сеть
Восстановление шлейфа Touch ID,Не работает Touch ID
Замена драйвера Touch ID,Не работает Touch ID
Замена (реболл) основного процессора (CPU),Не включается
Замена (реболл) основного процессора (CPU),Не заряжается
Замена (реболл) основного процессора (CPU),Греется и зависает
Замена (реболл) основного процессора (CPU),Не загружается
Замена (реболл) основного процессора (CPU),Нет изображения на дисплее
Замена контроллера зарядки Tigris,Не заряжается
Замена модуля NFC,Не работает NFC
Замена аудиокодека,Аудиокодек
Замена аудиокодека,Не слышно собеседника
Замена аудиокодека,Не слышно владельца телефона
Внешняя чистка (без разбора устройства),Плохо слышно собеседника
Внешняя чистка (без разбора устройства),Плохо слышно владельца телефона
Замена NAND-flash (128 Гб),Не видит flash память
Замена NAND-flash (128 Гб),Не загружается
Замена NAND-flash (128 Гб),Не включается
Замена NAND-flash (128 Гб),Не хватает места
Замена NAND-flash (256 Гб),Не видит flash память
Замена NAND-flash (256 Гб),Не загружается
Замена NAND-flash (256 Гб),Не включается
Замена NAND-flash (256 Гб),Не хватает места
Восстановление цепей питания матрицы,Нет изображения на дисплее
Восстановление цепей питания подсветки,Нет подсветки
Восстановление цепей питания подсветки,Нет изображения на дисплее
Замена аудиоразъема (3G),Не работает разъем наушников
Замена аудиоразъема (Wi-Fi),Не работает разъем наушников
Замена гироскопа,Нет
Замена датчика Sleep&Wake (CDMA),Нет
Замена датчика Sleep&Wake (Wi-Fi/3G),Нет
Замена динамика,Не работает динамик полифонический
Замена динамика,Не работает динамик слуховой
Замена диода подсветки,Нет подсветки
Замена катушки подсветки,Нет подсветки
Замена кнопки переключения вибро (CDMA),Не работает переключатель вибро
Замена кнопки переключения вибро (Wi-Fi/3G),Не работает переключатель вибро
Замена разъема,Не заряжается
Замена тачскрина,Некорректно работает тачскрин
Замена тачскрина,Не работает Touchscreen
Замена транзисторов зарядки,Не заряжается
Изменение BOARD ID,Нет
Правка углов,Нет
Чистка устройства,"Профилактика, сбор-разбор и чистка"
Чистка устройства,Греется и зависает
Чистка устройства,Греется
Чистка устройства,Чистка системы охлаждения и замена термопасты
Замена аудиоразъема,Не работает разъем наушников
Замена коннектора сим-карты,Не видит SIM карту
Замена NAND-flash,Не видит flash память
Замена NAND-flash,Не загружается
Замена NAND-flash,Не включается
Замена NAND-flash,Не хватает места
Восстановление данных,Нет
Замена видеочипа,Нет изображения на дисплее
Замена видеочипа,Не включается
Замена видеочипа,Артефакты на дисплее
Замена видеочипа,Не загружается
Замена клавиатуры,Не работает клавиатура
Замена клавиатуры,Клавиатура и тачпад не работают
Замена корпуса в сборе с клавиатурой,Клавиатура и тачпад не работают
Замена корпуса в сборе с клавиатурой,Не работает клавиатура
Замена материнской платы,Нет
Замена матрицы в сборе с крышкой,Нет изображения на дисплее
Замена нижней крышки,Нет
Замена подсветки клавиатуры,Не работает подсветка клавиатуры
Замена разъема MagSafe,Не заряжается
Замена тачпада,Не работает тачпад
Замена тачпада,Клавиатура и тачпад не работают
Замена шлейфа матрицы,Нет изображения на дисплее
Обновление или восстановление Mac OS,Не загружается
Ремонт видеочипа,Нет изображения на дисплее
Ремонт видеочипа,Не включается
Ремонт видеочипа,Артефакты на дисплее
Ремонт видеочипа,Не загружается
Ремонт мультиконтроллера,Не включается
Ремонт мультиконтроллера,Не загружается
Установка ПО,Нет
Чистка системы охлаждения и замена термопасты,Греется и зависает
Чистка системы охлаждения и замена термопасты,Периодически выключается
Чистка системы охлаждения и замена термопасты,Выключается
Чистка системы охлаждения и замена термопасты,Шумит
Чистка системы охлаждения и замена термопасты,Артефакты на дисплее
Чистка системы охлаждения и замена термопасты,Тормозит
Замена кулера,Греется
Замена кулера,Шумит
Замена кулера,Греется и зависает
Замена кулера,Тормозит
Замена нижней резиновой ножки,Нет (быстрая работа)
Замена HDD/SSD,Тормозит
Замена HDD/SSD,Не хватает места
Замена Wi-Fi модуля AirPort,Не работает Wi-Fi
Замена межплатного шлейфа,Нет
Замена топкейса,Не работает клавиатура
Замена топкейса,Попадание влаги
Замена шлейфа тачпада,Не работает тачпад
Замена шлейфа тачпада,Клавиатура и тачпад не работают
Замена шлейфа клавиатуры,Не работает клавиатура
Замена Touch Bar,Не работает Touch Bar
Замена беспроводной зарядки,Не заряжается
Замена беспроводной зарядки,Не работает беспроводная зарядка
Замена digital crown,Нет
Замена 3D Touch,Нет
Замена кнопки вибро (Taptic Engine),Не работает переключатель вибро
Замена модуля антенны,Нет сети
Замена разъема аккумулятора,Нет
Замена шлейфа с датчиками,Нет
Замена шлейфа с кнопками,Не работает кнопка Power
Замена шлейфа с кнопками,Не работают кнопки громкости
Замена шлейфа с разъемом дисплея,Нет изображения на дисплее
Замена force touch,Не работает Touchscreen
Замена корпуса,Разбита задняя крышка
Замена корпуса,Погнут корпус
Другое,Другое
