Устройство,Услуга,Цена,Гарантия,Производитель,Тип девайса
  iPhone 11 Pro,Восстановление слоёв платы,1190.0,30.0,Apple,Смартфон
  iPhone 11 Pro,Замена аудиокодека,9790.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Замена вибромотора,4390.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена винтов,490.0,14.0,Apple,Смартфон
  iPhone 11 Pro,Замена датчика освещения/приближения,3890.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена задней крышки в сборе,10490.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена кнопки включения,3490.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена кнопки переключения вибро,3490.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена кнопок громкости,3490.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена контроллера USB U2 Tristar,8390.0,30.0,Apple,Смартфон
  iPhone 11 Pro,Замена микрофона,5690.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена основной камеры,8390.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена передней камеры,3890.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена полифонического динамика,5690.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена разъема зарядки,5690.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена сеточки на слуховой динамик,2690.0,14.0,Apple,Смартфон
  iPhone 11 Pro,Замена сим-лотка,790.0,14.0,Apple,Смартфон
  iPhone 11 Pro,Замена слухового динамика,3890.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена стекла задней крышки,5890.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена стекла камеры,3590.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена NFC антенны,4890.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Замена Wi-Fi/Bluetooth антенны,5190.0,90.0,Apple,Смартфон
  iPhone 11 Pro,Обновление ПО,890.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Обтяжка гидрогелевой защитой,1290.0,14.0,Apple,Смартфон
  iPhone 11 Pro,Пайка контроллера аккумулятора (устранение ошибки),2490.0,30.0,Apple,Смартфон
  iPhone 11 Pro,Перенос данных,890.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Полировка стекла,4790.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Разбор / сбор,2590.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Ремонт с деталью клиента,2590.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Срочный ремонт,690.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Чистка динамика,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Чистка переключателя бесшумного звонка (без разбора),590.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Чистка разъема зарядки/наушников (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Чистка сеточки верхнего микрофона,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Чистка сеточки нижнего микрофона,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Чистка сеточки полифонического динамика,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Чистка сеточки фронтального микрофона и слухового динамика,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro,Чистка стекла основной камеры,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена дисплея в сборе - КОПИЯ A+,9790.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена дисплея в сборе - КОПИЯ,8490.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена дисплея в сборе - ORIG,15290.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена стекла (переклейка дисплея),8090.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена дисплея в сборе (оригинальная матрица),13390.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена аккумулятора,4990.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена аккумулятора - PLUS,6190.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Проклейка дисплея (восстановление влагозащиты),790.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Активация и настройка Apple ID,690.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Внешняя чистка (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Восстановление после попадания влаги,2990.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Восстановление слоёв платы,1190.0,30.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена аудиокодека,9790.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена вибромотора,4590.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена винтов,490.0,14.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена датчика освещения/приближения,4190.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена задней крышки в сборе,11490.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена кнопки включения,3790.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена кнопки переключения вибро,3790.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена кнопок громкости,3790.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена контроллера USB U2 Tristar,8590.0,30.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена микрофона,6390.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена основной камеры,8390.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена передней камеры,4190.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена полифонического динамика,6390.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена разъема зарядки,6390.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена сеточки на слуховой динамик,2690.0,14.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена сим-лотка,790.0,14.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена слухового динамика,4090.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена стекла задней крышки,6590.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена стекла камеры,3890.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена NFC антенны,4990.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Замена Wi-Fi/Bluetooth антенны,5790.0,90.0,Apple,Смартфон
  iPhone 11 Pro Max,Обновление ПО,890.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Обтяжка гидрогелевой защитой,1290.0,14.0,Apple,Смартфон
  iPhone 11 Pro Max,Пайка контроллера аккумулятора (устранение ошибки),2490.0,30.0,Apple,Смартфон
  iPhone 11 Pro Max,Перенос данных,890.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Полировка стекла,4790.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Разбор / сбор,2590.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Ремонт с деталью клиента,2590.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Срочный ремонт,690.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Чистка динамика,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Чистка переключателя бесшумного звонка (без разбора),590.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Чистка разъема зарядки/наушников (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Чистка сеточки верхнего микрофона,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Чистка сеточки нижнего микрофона,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Чистка сеточки полифонического динамика,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Чистка сеточки фронтального микрофона и слухового динамика,2290.0,0.0,Apple,Смартфон
  iPhone 11 Pro Max,Чистка стекла основной камеры,2290.0,0.0,Apple,Смартфон
  Продажа сим-карты,Продажа сим-карты (мегафон),200.0,0.0,Apple,
  iPhone 12,Замена дисплея в сборе - КОПИЯ A+,9490.0,90.0,Apple,Смартфон
  iPhone 12,Замена дисплея в сборе - КОПИЯ,7190.0,90.0,Apple,Смартфон
  iPhone 12,Замена дисплея в сборе - ORIG,15290.0,90.0,Apple,Смартфон
  iPhone 12,Замена стекла (переклейка дисплея),6790.0,90.0,Apple,Смартфон
  iPhone 12,Замена дисплея в сборе (оригинальная матрица),12590.0,90.0,Apple,Смартфон
  iPhone 12,Замена аккумулятора,5490.0,90.0,Apple,Смартфон
  iPhone 12,Замена аккумулятора - PLUS,6190.0,90.0,Apple,Смартфон
  iPhone 12,Проклейка дисплея (восстановление влагозащиты),790.0,0.0,Apple,Смартфон
  iPhone 12,Активация и настройка Apple ID,690.0,0.0,Apple,Смартфон
  iPhone 12,Внешняя чистка (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 12,Восстановление после попадания влаги,4990.0,0.0,Apple,Смартфон
  iPhone 12,Восстановление слоёв платы,1190.0,30.0,Apple,Смартфон
  iPhone 12,Замена аудиокодека,10290.0,0.0,Apple,Смартфон
  iPhone 12,Замена вибромотора,4490.0,90.0,Apple,Смартфон
  iPhone 12,Замена винтов,490.0,14.0,Apple,Смартфон
  iPhone 12,Замена датчика освещения/приближения,4090.0,90.0,Apple,Смартфон
  iPhone 12,Замена задней крышки в сборе,9990.0,90.0,Apple,Смартфон
  iPhone 12,Замена кнопки включения,3590.0,90.0,Apple,Смартфон
  iPhone 12,Замена кнопки переключения вибро,3590.0,90.0,Apple,Смартфон
  iPhone 12,Замена кнопок громкости,3590.0,90.0,Apple,Смартфон
  iPhone 12,Замена контроллера USB U2 Tristar,8990.0,30.0,Apple,Смартфон
  iPhone 12,Замена микрофона,4490.0,90.0,Apple,Смартфон
  iPhone 12,Замена основной камеры,6490.0,90.0,Apple,Смартфон
  iPhone 12,Замена передней камеры,4090.0,90.0,Apple,Смартфон
  iPhone 12,Замена полифонического динамика,4490.0,90.0,Apple,Смартфон
  iPhone 12,Замена разъема зарядки,4490.0,90.0,Apple,Смартфон
  iPhone 12,Замена сеточки на слуховой динамик,3690.0,14.0,Apple,Смартфон
  iPhone 12,Замена сим-лотка,990.0,14.0,Apple,Смартфон
  iPhone 12,Замена слухового динамика,4090.0,90.0,Apple,Смартфон
  iPhone 12,Замена стекла задней крышки,7390.0,90.0,Apple,Смартфон
  iPhone 12,Замена стекла камеры,4390.0,90.0,Apple,Смартфон
  iPhone 12,Замена NFC антенны,5290.0,90.0,Apple,Смартфон
  iPhone 12,Обновление ПО,890.0,0.0,Apple,Смартфон
  iPhone 12,Обтяжка гидрогелевой защитой,1290.0,14.0,Apple,Смартфон
  iPhone 12,Пайка контроллера аккумулятора (устранение ошибки),2990.0,30.0,Apple,Смартфон
  iPhone 12,Перенос данных,890.0,0.0,Apple,Смартфон
  iPhone 12,Полировка стекла,6290.0,0.0,Apple,Смартфон
  iPhone 12,Разбор / сбор,2990.0,0.0,Apple,Смартфон
  iPhone 12,Ремонт с деталью клиента,2990.0,0.0,Apple,Смартфон
  iPhone 12,Срочный ремонт,690.0,0.0,Apple,Смартфон
  iPhone 12,Чистка динамика,2690.0,0.0,Apple,Смартфон
  iPhone 12,Чистка переключателя бесшумного звонка (без разбора),590.0,0.0,Apple,Смартфон
  iPhone 12,Чистка разъема зарядки/наушников (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 12,Чистка сеточки верхнего микрофона,2690.0,0.0,Apple,Смартфон
  iPhone 12,Чистка сеточки нижнего микрофона,2690.0,0.0,Apple,Смартфон
  iPhone 12,Чистка сеточки полифонического динамика,2690.0,0.0,Apple,Смартфон
  iPhone 12,Чистка сеточки фронтального микрофона и слухового динамика,2690.0,0.0,Apple,Смартфон
  iPhone 12,Чистка стекла основной камеры,2690.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Замена дисплея в сборе - КОПИЯ A+,10090.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена дисплея в сборе - КОПИЯ,7790.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена дисплея в сборе - ORIG,16390.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена стекла (переклейка дисплея),7290.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена дисплея в сборе (оригинальная матрица),15290.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена аккумулятора,5790.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена аккумулятора - PLUS,6490.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Проклейка дисплея (восстановление влагозащиты),790.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Активация и настройка Apple ID,690.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Внешняя чистка (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Восстановление после попадания влаги,4990.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Восстановление слоёв платы,1190.0,30.0,Apple,Смартфон
  iPhone 12 Mini,Замена аудиокодека,9990.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Замена вибромотора,4290.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена винтов,490.0,14.0,Apple,Смартфон
  iPhone 12 Mini,Замена датчика освещения/приближения,4190.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена задней крышки в сборе,9690.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена кнопки включения,3390.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена кнопки переключения вибро,3390.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена кнопок громкости,3390.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена контроллера USB U2 Tristar,9990.0,30.0,Apple,Смартфон
  iPhone 12 Mini,Замена микрофона,4390.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена основной камеры,7090.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена передней камеры,4190.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена полифонического динамика,4390.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена разъема зарядки,4390.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена сеточки на слуховой динамик,3690.0,14.0,Apple,Смартфон
  iPhone 12 Mini,Замена сим-лотка,990.0,14.0,Apple,Смартфон
  iPhone 12 Mini,Замена слухового динамика,4190.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена стекла задней крышки,7390.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена стекла камеры,4290.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Замена NFC антенны,5090.0,90.0,Apple,Смартфон
  iPhone 12 Mini,Обновление ПО,890.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Обтяжка гидрогелевой защитой,1290.0,14.0,Apple,Смартфон
  iPhone 12 Mini,Пайка контроллера аккумулятора (устранение ошибки),2990.0,30.0,Apple,Смартфон
  iPhone 12 Mini,Перенос данных,890.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Полировка стекла,6290.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Разбор / сбор,2990.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Ремонт с деталью клиента,2990.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Срочный ремонт,690.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Чистка динамика,2690.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Чистка переключателя бесшумного звонка (без разбора),590.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Чистка разъема зарядки/наушников (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Чистка сеточки верхнего микрофона,2690.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Чистка сеточки нижнего микрофона,2690.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Чистка сеточки полифонического динамика,2690.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Чистка сеточки фронтального микрофона и слухового динамика,2690.0,0.0,Apple,Смартфон
  iPhone 12 Mini,Чистка стекла основной камеры,2690.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Замена дисплея в сборе - КОПИЯ A+,9690.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена дисплея в сборе - КОПИЯ,7590.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена дисплея в сборе - ORIG,15590.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена стекла (переклейка дисплея),7190.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена дисплея в сборе (оригинальная матрица),12890.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена аккумулятора,5890.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена аккумулятора - PLUS,6890.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Проклейка дисплея (восстановление влагозащиты),790.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Активация и настройка Apple ID,690.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Внешняя чистка (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Восстановление после попадания влаги,4990.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Восстановление слоёв платы,1190.0,30.0,Apple,Смартфон
  iPhone 12 Pro,Замена аудиокодека,10790.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Замена вибромотора,4790.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена винтов,490.0,14.0,Apple,Смартфон
  iPhone 12 Pro,Замена датчика освещения/приближения,4390.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена задней крышки в сборе,11290.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена кнопки включения,3890.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена кнопки переключения вибро,3890.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена кнопок громкости,3890.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена контроллера USB U2 Tristar,8990.0,30.0,Apple,Смартфон
  iPhone 12 Pro,Замена микрофона,4790.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена основной камеры,13390.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена передней камеры,4390.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена полифонического динамика,4790.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена разъема зарядки,4790.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена сеточки на слуховой динамик,3690.0,14.0,Apple,Смартфон
  iPhone 12 Pro,Замена сим-лотка,990.0,14.0,Apple,Смартфон
  iPhone 12 Pro,Замена слухового динамика,4390.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена стекла задней крышки,7890.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена стекла камеры,4390.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Замена NFC антенны,5290.0,90.0,Apple,Смартфон
  iPhone 12 Pro,Обновление ПО,890.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Обтяжка гидрогелевой защитой,1290.0,14.0,Apple,Смартфон
  iPhone 12 Pro,Пайка контроллера аккумулятора (устранение ошибки),2990.0,30.0,Apple,Смартфон
  iPhone 12 Pro,Перенос данных,890.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Полировка стекла,6290.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Разбор / сбор,3290.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Ремонт с деталью клиента,3290.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Срочный ремонт,690.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Чистка динамика,2990.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Чистка переключателя бесшумного звонка (без разбора),590.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Чистка разъема зарядки/наушников (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Чистка сеточки верхнего микрофона,2990.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Чистка сеточки нижнего микрофона,2990.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Чистка сеточки полифонического динамика,2990.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Чистка сеточки фронтального микрофона и слухового динамика,2990.0,0.0,Apple,Смартфон
  iPhone 12 Pro,Чистка стекла основной камеры,2990.0,0.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена дисплея в сборе - КОПИЯ A+,11390.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена дисплея в сборе - КОПИЯ,8950.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена дисплея в сборе - ORIG,22590.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена стекла (переклейка дисплея),8190.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена дисплея в сборе (оригинальная матрица),18090.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена аккумулятора,5890.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена аккумулятора - PLUS,6890.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Проклейка дисплея (восстановление влагозащиты),790.0,0.0,Apple,Смартфон
  iPhone 12 Pro Max,Активация и настройка Apple ID,690.0,0.0,Apple,Смартфон
  iPhone 12 Pro Max,Внешняя чистка (без разбора устройства),590.0,0.0,Apple,Смартфон
  iPhone 12 Pro Max,Восстановление после попадания влаги,4990.0,0.0,Apple,Смартфон
  iPhone 12 Pro Max,Восстановление слоёв платы,1190.0,30.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена аудиокодека,10790.0,0.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена вибромотора,4990.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена винтов,490.0,14.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена датчика освещения/приближения,4690.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена задней крышки в сборе,12290.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена кнопки включения,4090.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена кнопки переключения вибро,4090.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена кнопок громкости,4090.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена контроллера USB U2 Tristar,9990.0,30.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена микрофона,5190.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена основной камеры,11890.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена передней камеры,4690.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена полифонического динамика,5190.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена разъема зарядки,5190.0,90.0,Apple,Смартфон
  iPhone 12 Pro Max,Замена сеточки на слуховой динамик,3690.0,14.0,Apple,Смартфон
